uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
GO,PNEUMONIA,HOSPITAL,"< 9",M,31
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,114
GO,SEPTICEMIA,HOSPITAL,"< 9",I,1
GO,SEPTICEMIA,HOSPITAL,"< 9",M,114
GO,SEPTICEMIA,IGNORADO,"< 9",F,2
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,8
GO,SRAG,HOSPITAL,"< 9",F,3
GO,SRAG,HOSPITAL,"< 9",M,2
GO,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,OUTRAS,DOMICILIO,"< 9",F,28
MA,OUTRAS,DOMICILIO,"< 9",I,2
MA,OUTRAS,DOMICILIO,"< 9",M,35
MA,OUTRAS,HOSPITAL,"< 9",F,245
MA,OUTRAS,HOSPITAL,"< 9",I,5
MA,OUTRAS,HOSPITAL,"< 9",M,290
MA,OUTRAS,IGNORADO,"< 9",F,3
MA,OUTRAS,IGNORADO,"< 9",M,2
MA,OUTRAS,OUTRO,"< 9",F,4
MA,OUTRAS,OUTRO,"< 9",M,13
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,5
MA,OUTRAS,VIA_PUBLICA,"< 9",M,1
MA,COVID,HOSPITAL,"< 9",F,8
MA,COVID,HOSPITAL,"< 9",M,2
MA,COVID,OUTRO,"< 9",M,1
MA,INDETERMINADA,DOMICILIO,"< 9",M,2
MA,INDETERMINADA,HOSPITAL,"< 9",F,3
MA,INDETERMINADA,HOSPITAL,"< 9",M,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,28
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
MA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
MA,PNEUMONIA,DOMICILIO,"< 9",F,1
MA,PNEUMONIA,DOMICILIO,"< 9",M,4
MA,PNEUMONIA,HOSPITAL,"< 9",F,27
MA,PNEUMONIA,HOSPITAL,"< 9",M,33
MA,PNEUMONIA,IGNORADO,"< 9",M,1
MA,PNEUMONIA,OUTRO,"< 9",F,1
MA,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
MA,SEPTICEMIA,DOMICILIO,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,61
MA,SEPTICEMIA,HOSPITAL,"< 9",M,79
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
MA,SRAG,HOSPITAL,"< 9",F,3
MA,SRAG,HOSPITAL,"< 9",M,4
MG,OUTRAS,DOMICILIO,"< 9",F,42
MG,OUTRAS,DOMICILIO,"< 9",M,65
MG,OUTRAS,HOSPITAL,"< 9",F,772
MG,OUTRAS,HOSPITAL,"< 9",I,14
MG,OUTRAS,HOSPITAL,"< 9",M,926
MG,OUTRAS,IGNORADO,"< 9",F,19
MG,OUTRAS,IGNORADO,"< 9",I,1
MG,OUTRAS,IGNORADO,"< 9",M,19
MG,OUTRAS,OUTRO,"< 9",F,2
MG,OUTRAS,OUTRO,"< 9",M,13
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,13
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,21
MG,OUTRAS,VIA_PUBLICA,"< 9",F,8
MG,OUTRAS,VIA_PUBLICA,"< 9",M,8
MG,COVID,HOSPITAL,"< 9",F,12
MG,COVID,HOSPITAL,"< 9",M,14
MG,COVID,IGNORADO,"< 9",F,1
MG,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,3
MG,INDETERMINADA,HOSPITAL,"< 9",F,10
MG,INDETERMINADA,HOSPITAL,"< 9",I,1
MG,INDETERMINADA,HOSPITAL,"< 9",M,14
MG,INDETERMINADA,OUTRO,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,131
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,4
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,181
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,4
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,3
MG,PNEUMONIA,DOMICILIO,"< 9",M,1
MG,PNEUMONIA,HOSPITAL,"< 9",F,35
MG,PNEUMONIA,HOSPITAL,"< 9",M,58
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,SEPTICEMIA,DOMICILIO,"< 9",M,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,340
MG,SEPTICEMIA,HOSPITAL,"< 9",M,380
MG,SEPTICEMIA,IGNORADO,"< 9",F,5
MG,SEPTICEMIA,IGNORADO,"< 9",M,4
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
MG,SRAG,HOSPITAL,"< 9",F,12
MG,SRAG,HOSPITAL,"< 9",M,11
MG,SRAG,IGNORADO,"< 9",M,1
MS,OUTRAS,DOMICILIO,"< 9",F,21
MS,OUTRAS,DOMICILIO,"< 9",M,18
MS,OUTRAS,HOSPITAL,"< 9",F,221
MS,OUTRAS,HOSPITAL,"< 9",M,286
MS,OUTRAS,OUTRO,"< 9",M,6
MS,OUTRAS,VIA_PUBLICA,"< 9",F,5
MS,OUTRAS,VIA_PUBLICA,"< 9",M,6
MS,COVID,HOSPITAL,"< 9",F,1
MS,COVID,HOSPITAL,"< 9",M,4
MS,INDETERMINADA,DOMICILIO,"< 9",M,1
MS,INDETERMINADA,HOSPITAL,"< 9",F,1
MS,INDETERMINADA,HOSPITAL,"< 9",M,1
MS,INDETERMINADA,POSTO_SAUDE,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,7
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,32
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,43
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
